abandoned,air traffic control tower,belltower,bridge,casino,city,city_id,commercial,completed.year,country,country id,current,education,exhibition,floors above,government,height,hospital,hotel,id,industrial,is completed,is started,latitude,library,longitude,material,multiple,museum,name,number of purposes,observation,office,other,rank,religious,residential,retail,serviced apartments,started.year,telecommunications
FALSE,FALSE,FALSE,FALSE,FALSE,New York City,1641,FALSE,2019,US,163,under construction,FALSE,FALSE,73,FALSE,386.6099854,FALSE,FALSE,13325,FALSE,TRUE,TRUE,40.75402069,FALSE,-74.0008316,steel/concrete,FALSE,FALSE,30 Hudson Yards,1,FALSE,TRUE,FALSE,17,FALSE,FALSE,FALSE,FALSE,2014,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,New York City,1641,FALSE,1931,US,163,completed,FALSE,FALSE,102,FALSE,381,FALSE,FALSE,261,FALSE,TRUE,TRUE,40.74842072,FALSE,-73.98560333,steel,FALSE,FALSE,Empire State Building,1,FALSE,TRUE,FALSE,18,FALSE,FALSE,FALSE,FALSE,1930,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,New York City,1641,FALSE,0,US,163,vision,FALSE,FALSE,110,FALSE,368.2000122,FALSE,FALSE,282,FALSE,FALSE,FALSE,40.7575798,FALSE,-73.99160004,steel,FALSE,FALSE,Larkin Building,1,FALSE,TRUE,FALSE,19,FALSE,FALSE,FALSE,FALSE,0,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,New York City,1641,FALSE,2009,US,163,completed,FALSE,FALSE,55,FALSE,365.7999878,FALSE,FALSE,291,FALSE,TRUE,TRUE,40.75537872,FALSE,-73.98435211,composite,FALSE,FALSE,Bank of America Tower,1,FALSE,TRUE,FALSE,20,FALSE,FALSE,FALSE,FALSE,2004,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,Houston,1593,FALSE,0,US,163,vision,FALSE,FALSE,0,FALSE,356.6199951,FALSE,TRUE,19850,FALSE,FALSE,FALSE,0,FALSE,0,steel,FALSE,FALSE,Block 142,3,FALSE,TRUE,FALSE,21,FALSE,TRUE,FALSE,FALSE,0,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,Las Vegas,1610,FALSE,1996,US,163,completed,FALSE,FALSE,0,FALSE,350.2200012,FALSE,FALSE,9401,FALSE,TRUE,TRUE,36.1473999,FALSE,-115.1554337,concrete,FALSE,FALSE,Stratosphere Tower,1,FALSE,FALSE,FALSE,22,FALSE,FALSE,FALSE,FALSE,1994,TRUE
FALSE,FALSE,FALSE,FALSE,FALSE,Chicago,1539,FALSE,1973,US,163,completed,FALSE,FALSE,83,FALSE,346.2600098,FALSE,FALSE,339,FALSE,TRUE,TRUE,41.88515854,FALSE,-87.62145233,steel,FALSE,FALSE,Aon Center,1,FALSE,TRUE,FALSE,23,FALSE,FALSE,FALSE,FALSE,1970,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,Chicago,1539,FALSE,1969,US,163,completed,FALSE,FALSE,100,FALSE,343.6900024,FALSE,FALSE,345,FALSE,TRUE,TRUE,41.8987999,FALSE,-87.62306213,steel,FALSE,FALSE,John Hancock Center,2,FALSE,TRUE,FALSE,24,FALSE,TRUE,FALSE,FALSE,1965,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,Philadelphia,1657,FALSE,2018,US,163,under construction,FALSE,FALSE,59,FALSE,341.6799927,FALSE,TRUE,16192,FALSE,TRUE,TRUE,39.9550209,FALSE,-75.17028809,composite,FALSE,FALSE,Comcast Innovation and Technology Center,2,FALSE,TRUE,FALSE,25,FALSE,FALSE,FALSE,FALSE,2014,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,Los Angeles,1611,FALSE,2017,US,163,structurally topped out,FALSE,FALSE,73,FALSE,334.9700012,FALSE,TRUE,9686,FALSE,TRUE,TRUE,34.04990005,FALSE,-118.2600174,composite,FALSE,FALSE,Wilshire Grand Center,2,FALSE,TRUE,FALSE,26,FALSE,FALSE,FALSE,FALSE,2013,FALSE
